emp_id,Name,Birthdate,Age,Gender,Dept_ID,mng_id,Salary,PerfScore,EmpSatisfaction,EngagementSurvey
10089,King Janet,9/21/1954,67,F,2,,600000,2,6,4.2
10131,Quinn Sean,11/6/1984,37,M,5,10089,498527,4,3,5
10134,LeBlanc Brandon R,6/10/1984,37,M,1,10089,371717,3,8,3.04
10010,Zamora Jennifer,8/30/1979,42,F,4,10089,398202,1,2,4.46
10272,Houlihan Debra,3/17/1966,55,F,6,10089,457901,3,0,4.2
10090,Spirea Kelley,9/30/1975,46,F,3,10089,351837,5,2,5
10238,Brown Mia,11/24/1987,34,F,1,10134,110291,5,8,4.6
10182,Howard Estelle,9/16/1985,36,F,1,10134,110691,1,8,4.96
10038,LaRotonda William,4/26/1984,37,M,1,10134,116861,3,7,3.02
10039,Singh Nan,5/19/1988,33,F,1,10134,114517,1,9,4.84
10153,Smith Leigh Ann,6/14/1987,34,F,1,10134,106366,1,2,5
10147,Steans Tyrone,9/1/1986,35,M,1,10134,100033,3,1,5
10259,Pearson Randall,9/5/1984,37,M,3,10090,108602,3,4,4.28
10016,Petrowsky Thelma,9/16/1984,37,F,3,10090,107434,4,7,4.6
10162,Roby Lori,10/11/1981,40,F,3,10090,117302,1,10,5
10149,Roehrich Bianca,5/27/1973,48,F,3,10090,101811,1,0,5
10229,Salter Jason,12/17/1987,34,M,3,10090,105829,3,2,4.4
10178,Simard Kramer,2/8/1970,51,M,3,10090,103945,4,8,5
10118,Voldemort Lord,8/7/1986,35,M,3,10090,101193,2,8,4.5
10043,Zhou Julia,2/24/1979,42,F,3,10090,114677,2,4,4.2
10288,Monroe Peter,10/5/1986,35,M,3,10090,118068,4,0,5
10198,RoupSimon,4/5/1973,48,M,3,10090,112088,2,0,4.2
10222,Ruiz Ricardo,1/4/1964,57,M,3,10090,102230,3,10,5
10150,Cady Max,11/22/1966,55,M,4,10010,106013,2,0,2
10008,Lindsay Leonara,10/5/1988,33,F,3,10090,117552,2,4,4.8
10119,Soto Julia,3/12/1973,48,F,3,10090,103494,4,7,3.5
10220,Clayton Rick,9/5/1985,36,M,3,10090,113420,1,3,5
10273,Galia Lisa,7/6/1968,53,F,3,10090,100589,1,8,3.39
10151,Morway Tanya,4/4/1979,42,F,3,10090,109344,4,9,3.35
10179,Shepard Anita,4/14/1981,40,F,3,10090,112520,5,0,4.5
10180,Soze Keyser,2/9/1983,38,M,3,10090,112998,1,6,3.19
10044,Tredinnick Neville,5/5/1988,33,M,3,10090,113647,3,7,3.5
10045,Turpin Jumil,3/31/1969,52,M,3,10090,117181,5,0,3.14
10127,Warfield Sarah,5/2/1978,43,F,3,10090,104215,4,9,4.51
10194,Andreola Colby,5/24/1979,42,F,4,10010,112454,1,2,3.25
10085,Carabbio Judith,4/5/1987,34,F,4,10010,119537,2,1,3.84
10155,Del Bosque Keyla,7/5/1979,42,F,4,10010,103796,4,6,5
10290,Exantus Susan,5/15/1987,34,F,4,10010,105182,2,0,4.96
10110,Martin Sandra,11/7/1987,34,F,4,10010,101754,3,6,4.43
10005,Patronick Lucas,2/20/1979,42,M,4,10010,109354,1,8,5
10126,Saada Adell,7/24/1986,35,F,4,10010,117892,5,6,5
10024,Szabo Andrew,5/6/1983,38,M,4,10010,100092,1,2,5
10102,True Edward,6/14/1983,38,M,4,10010,119037,3,1,4.5
10091,Shields Seffi,8/24/1985,36,F,5,10131,113670,5,8,3.3
10141,Theamstern Sophia,5/9/1965,56,F,5,10131,119695,3,6,3.8
10270,Trzeciak Cybil,3/15/1985,36,F,5,10131,104051,4,3,3
10048,Wilber Barry,9/9/1965,56,M,5,10131,103447,4,9,4.3
10302,Sparks Taylor,7/20/1968,53,F,5,10131,107957,4,3,3.58
10123,Tippett Jeanette,6/5/1967,54,F,5,10131,104982,1,0,4.7
10033,Winthrop Jordan,11/7/1958,63,M,5,10131,101579,5,0,4.2
10301,Ybarra Catherine,5/4/1982,39,F,5,10131,119188,1,1,4.2
10311,Dee Randy,4/15/1988,33,M,5,10131,102912,3,2,4.1
10232,Le Binh,6/14/1987,34,F,3,10090,103446,2,3,4.4
10079,Navathe Kurt,4/25/1970,51,M,3,10090,116666,2,7,2
10239,Rachael Maggie,5/12/1980,41,F,3,10090,106531,3,3,4.13
10086,Roper Katie,11/21/1972,49,F,3,10090,109665,4,7,3.7
10173,Tannen Biff,10/24/1987,34,M,3,10090,111482,3,4,4.73
10172,Wang Charlie,7/8/1981,40,M,3,10090,105168,4,10,3.04
10030,Squatrito Kristen,3/26/1973,48,F,6,10272,101209,5,1,4.12
10287,Trang Mei,5/16/1983,38,F,6,10272,100716,3,5,5
10174,Wolk Hang T,4/20/1985,36,F,6,10272,111717,5,9,4.62
10271,Zima Colleen,8/17/1978,43,F,6,10272,100762,4,5,3.1
10099,Daneault Lynn,4/19/1990,31,F,6,10272,107463,2,10,5
10244,Kampew Donysha,11/11/1989,32,F,6,10272,101460,3,5,3.96
10291,Smith John,8/16/1984,37,M,6,10272,112052,3,5,4.3
10169,Sander Kamrin,7/10/1988,33,F,5,10131,118749,5,10,5
10027,Smith Joe,10/30/1963,58,M,5,10131,112013,1,3,3.79
10209,Sutwell Barbara,8/15/1968,53,F,5,10131,104293,2,1,1.93
10146,Tejeda Lenora,5/24/1953,68,F,5,10131,105489,1,1,4.62
10293,Wallace Theresa,8/2/1980,41,F,5,10131,108149,2,1,1.12
10188,Bunbury Jessica,6/1/1964,57,F,6,10272,106295,5,9,3.01
10040,Carter Michelle,5/15/1963,58,F,6,10272,117525,5,6,4.3
10306,Delarge Alex,11/2/1975,46,M,6,10272,108694,4,8,2.3
